"","found_taxa","worms_name","verbatim_name","gbif_name","ncbi_name","ncbi_commonname","gbif_usagekey","ncbi_uid","gbif_status","worms_aphiaid","worms_status","freshwater_only","kingdom","phylum","class","order","family","genus","compare_name","in_region"
"81","Oncorhynchus mykiss newberrii",NA,"Oncorhynchus mykiss newberrii",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Animalia","Chordata","Teleostei","Salmoniformes","Salmonidae","Oncorhynchus","Oncorhynchus mykiss newberrii",NA
"82","Oncorhynchus kawamurae","Oncorhynchus kawamurae","Oncorhynchus kawamurae","Oncorhynchus kawamurae","Oncorhynchus kawamurae","kunimasu",5961610,1278982,"accepted",1016304,"accepted",1,"Animalia","Chordata","Teleostei","Salmoniformes","Salmonidae","Oncorhynchus","Oncorhynchus kawamurae","no"
"83","Brachymystax lenok","Brachymystax lenok","Brachymystax lenok","Brachymystax lenok","Brachymystax lenok","lenok trout",2351356,62067,"accepted",1026966,"accepted",1,"Animalia","Chordata","Teleostei","Salmoniformes","Salmonidae","Brachymystax","Brachymystax lenok","no"
"84","Salvelinus fontinalis x Salvelinus malma",NA,"Salvelinus fontinalis x Salvelinus malma","Salvelinus fontinalis x Salvelinus malma","Salvelinus fontinalis x Salvelinus malma",NA,11549587,2557536,"accepted",NA,NA,NA,"Animalia","Chordata","Teleostei","Salmoniformes","Salmonidae","Salvelinus","Salvelinus fontinalis x Salvelinus malma","no"
"85","Salvelinus fontinalis","Salvelinus fontinalis","Salvelinus fontinalis","Salvelinus fontinalis","Salvelinus fontinalis","brook trout",2351271,8038,"accepted",154241,"accepted",0,"Animalia","Chordata","Teleostei","Salmoniformes","Salmonidae","Salvelinus","Salvelinus fontinalis","yes"
"86","Oncorhynchus clarkii lewisi",NA,"Oncorhynchus clarkii lewisi","Oncorhynchus clarkii lewisi","Oncorhynchus clarkii lewisi","westslope cutthroat trout",5711983,490388,"synonym",NA,NA,NA,"Animalia","Chordata","Teleostei","Salmoniformes","Salmonidae","Oncorhynchus","Oncorhynchus clarkii lewisi","no"
"87","Oncorhynchus mykiss","Oncorhynchus mykiss","Oncorhynchus mykiss","Oncorhynchus mykiss","Oncorhynchus mykiss","rainbow trout",5204019,8022,"accepted",127185,"accepted",0,"Animalia","Chordata","Teleostei","Salmoniformes","Salmonidae","Oncorhynchus","Oncorhynchus mykiss","no"
"88","Oncorhynchus clarkii","Oncorhynchus clarkii","Oncorhynchus clarkii","Oncorhynchus clarkii","Oncorhynchus clarkii","cutthroat trout",5711980,30962,"accepted",274347,"accepted",0,"Animalia","Chordata","Teleostei","Salmoniformes","Salmonidae","Oncorhynchus","Oncorhynchus clarkii","no"
"89","Oncorhynchus gorbuscha","Oncorhynchus gorbuscha","Oncorhynchus gorbuscha","Oncorhynchus gorbuscha","Oncorhynchus gorbuscha","pink salmon",5204037,8017,"accepted",127182,"accepted",0,"Animalia","Chordata","Teleostei","Salmoniformes","Salmonidae","Oncorhynchus","Oncorhynchus gorbuscha","yes"
"90","Oncorhynchus mykiss irideus",NA,"Oncorhynchus mykiss irideus","Oncorhynchus mykiss irideus","Oncorhynchus mykiss irideus",NA,5711995,857569,"accepted",NA,NA,NA,"Animalia","Chordata","Teleostei","Salmoniformes","Salmonidae","Oncorhynchus","Oncorhynchus mykiss irideus","no"
